ts_code,close_20210705,close_20210730,rate
300970.SZ,58.43,20.56,-0.6481259626903988
603355.SH,59.8,29.81,-0.501505016722408
300644.SZ,34.91,18.3,-0.47579490117444856
002847.SZ,98.0,54.12,-0.44775510204081637
605288.SH,103.9,57.43,-0.4472569778633302
603330.SH,27.58,15.33,-0.4441624365482233
600260.SH,8.21,4.58,-0.44214372716199757
300607.SZ,34.0,19.01,-0.4408823529411764
603378.SH,54.12,30.42,-0.43791574279379153
300689.SZ,43.83,25.01,-0.4293862651152178
300663.SZ,40.33,23.08,-0.4277212992809323
603313.SH,29.62,16.97,-0.4270762997974342
603518.SH,25.14,14.6,-0.41925218774860784
601919.SH,30.4,17.66,-0.419078947368421
300996.SZ,54.4,31.65,-0.4181985294117647
300859.SZ,28.43,17.1,-0.3985226873021456
002075.SZ,11.76,7.11,-0.39540816326530603
600365.SH,5.97,3.62,-0.39363484087102174
600593.SH,20.99,12.83,-0.38875655073844684
002603.SZ,30.38,18.8,-0.38117182356813684
603458.SH,16.46,10.34,-0.37181044957472664
002956.SZ,28.81,18.26,-0.3661922943422422
300010.SZ,5.72,3.68,-0.35664335664335656
300526.SZ,41.94,27.12,-0.3533619456366237
600570.SH,85.9,55.71,-0.3514551804423749
002909.SZ,9.38,6.13,-0.3464818763326226
601007.SH,8.1,5.32,-0.3432098765432098
688696.SH,828.27,548.97,-0.3372088811619399
600857.SH,14.67,9.74,-0.33605998636673484
301017.SZ,29.55,19.68,-0.334010152284264
600882.SH,67.13,44.93,-0.3307016237151794
603666.SH,90.9,60.89,-0.3301430143014302
002942.SZ,23.05,15.47,-0.32885032537960956
600779.SH,152.2,102.24,-0.32825229960578184
688016.SH,454.01,305.48,-0.32715138433074153
603229.SH,41.2,27.75,-0.32645631067961167
300705.SZ,40.38,27.3,-0.323922734026746
300350.SZ,13.79,9.33,-0.3234227701232777
002607.SZ,19.14,13.04,-0.31870428422152564
688580.SH,173.88,118.9,-0.3161950770646422
688700.SH,65.0,44.55,-0.31461538461538463
002530.SZ,10.29,7.06,-0.31389698736637506
002624.SZ,23.18,15.91,-0.31363244176013805
000526.SZ,25.51,17.53,-0.31281850254802035
600753.SH,45.66,31.41,-0.312089356110381
002614.SZ,23.1,15.9,-0.3116883116883117
000718.SZ,8.33,5.74,-0.31092436974789917
603087.SH,105.0,72.5,-0.30952380952380953
001205.SZ,32.23,22.35,-0.30654669562519377
300839.SZ,20.18,14.14,-0.2993062438057482
300479.SZ,25.15,17.73,-0.2950298210735586
000516.SZ,18.5,13.05,-0.2945945945945946
600223.SH,15.86,11.2,-0.29382093316519553
003016.SZ,18.11,12.81,-0.2926559911651021
002928.SZ,14.49,10.27,-0.29123533471359564
603520.SH,59.1,41.95,-0.2901861252115059
002714.SZ,59.3,42.27,-0.28718381112984814
300600.SZ,13.83,9.86,-0.2870571221981201
603630.SH,25.4,18.17,-0.2846456692913385
688050.SH,383.01,274.1,-0.28435288895851274
601567.SH,19.96,14.31,-0.28306613226452904
300587.SZ,21.85,15.68,-0.28237986270022886
300771.SZ,23.53,16.93,-0.28049298767530817
688179.SH,148.29,106.93,-0.2789129408591273
603180.SH,46.66,33.81,-0.2753964852121731
605089.SH,93.09,67.76,-0.2721022666236975
603557.SH,6.11,4.45,-0.2716857610474632
600754.SH,55.49,40.5,-0.2701387637412147
002638.SZ,2.52,1.84,-0.26984126984126977
300235.SZ,15.03,11.0,-0.26813040585495673
002735.SZ,23.82,17.48,-0.26616288832913515
